Date,Day,Activity
2025-07-15,Tuesday,
2025-07-16,Wednesday,BREAK
2025-07-17,Thursday,
2025-07-18,Friday,
2025-07-19,Saturday,BREAK
2025-07-20,Sunday,BREAK
2025-07-21,Monday,
2025-07-22,Tuesday,
2025-07-23,Wednesday,
2025-07-24,Thursday,
2025-07-25,Friday,
2025-07-26,Saturday,BREAK
2025-07-27,Sunday,BREAK
2025-07-28,Monday,
2025-07-29,Tuesday,
2025-07-30,Wednesday,
2025-07-31,Thursday,
2025-08-01,Friday,
2025-08-02,Saturday,BREAK
2025-08-03,Sunday,BREAK
2025-08-04,Monday,
2025-08-05,Tuesday,
2025-08-06,Wednesday,
2025-08-07,Thursday,
2025-08-08,Friday,
2025-08-09,Saturday,BREAK
2025-08-10,Sunday,BREAK
2025-08-11,Monday,
2025-08-12,Tuesday,
2025-08-13,Wednesday,
2025-08-14,Thursday,
2025-08-15,Friday,BREAK
2025-08-16,Saturday,BREAK
2025-08-17,Sunday,BREAK
2025-08-18,Monday,
2025-08-19,Tuesday,
2025-08-20,Wednesday,
2025-08-21,Thursday,
2025-08-22,Friday,
2025-08-23,Saturday,BREAK
2025-08-24,Sunday,BREAK
2025-08-25,Monday,
2025-08-26,Tuesday,
2025-08-27,Wednesday,
2025-08-28,Thursday,
2025-08-29,Friday,
2025-08-30,Saturday,BREAK
2025-08-31,Sunday,BREAK
2025-09-01,Monday,
2025-09-02,Tuesday,
2025-09-03,Wednesday,
2025-09-04,Thursday,
2025-09-05,Friday,BREAK
2025-09-06,Saturday,BREAK
2025-09-07,Sunday,BREAK
2025-09-08,Monday,
2025-09-09,Tuesday,
2025-09-10,Wednesday,
2025-09-11,Thursday,
2025-09-12,Friday,
2025-09-13,Saturday,BREAK
2025-09-14,Sunday,BREAK
2025-09-15,Monday,BREAK
2025-09-16,Tuesday,BREAK
2025-09-17,Wednesday,BREAK
2025-09-18,Thursday,BREAK
2025-09-19,Friday,BREAK
2025-09-20,Saturday,BREAK
2025-09-21,Sunday,BREAK
2025-09-22,Monday,BREAK
2025-09-23,Tuesday,BREAK
2025-09-24,Wednesday,BREAK
2025-09-25,Thursday,BREAK
2025-09-26,Friday,BREAK
2025-09-27,Saturday,BREAK
2025-09-28,Sunday,BREAK
2025-09-29,Monday,
2025-09-30,Tuesday,
2025-10-01,Wednesday,
2025-10-02,Thursday,BREAK
2025-10-03,Friday,
2025-10-04,Saturday,BREAK
2025-10-05,Sunday,BREAK
2025-10-06,Monday,
2025-10-07,Tuesday,BREAK
2025-10-08,Wednesday,
2025-10-09,Thursday,
2025-10-10,Friday,
2025-10-11,Saturday,BREAK
2025-10-12,Sunday,BREAK
2025-10-13,Monday,
2025-10-14,Tuesday,
2025-10-15,Wednesday,
2025-10-16,Thursday,
2025-10-17,Friday,
2025-10-18,Saturday,BREAK
2025-10-19,Sunday,BREAK
2025-10-20,Monday,
2025-10-21,Tuesday,
2025-10-22,Wednesday,
2025-10-23,Thursday,BREAK
2025-10-24,Friday,BREAK
2025-10-25,Saturday,BREAK
2025-10-26,Sunday,BREAK
2025-10-27,Monday,
2025-10-28,Tuesday,
2025-10-29,Wednesday,
2025-10-30,Thursday,
2025-10-31,Friday,
2025-11-01,Saturday,BREAK
2025-11-02,Sunday,BREAK
2025-11-03,Monday,
2025-11-04,Tuesday,
2025-11-05,Wednesday,BREAK
2025-11-06,Thursday,
2025-11-07,Friday,
2025-11-08,Saturday,BREAK
2025-11-09,Sunday,BREAK
2025-11-10,Monday,
2025-11-11,Tuesday,
2025-11-12,Wednesday,
2025-11-13,Thursday,
2025-11-14,Friday,
2025-11-15,Saturday,BREAK
2025-11-16,Sunday,BREAK
2025-11-17,Monday,
2025-11-18,Tuesday,
2025-11-19,Wednesday,
2025-11-20,Thursday,
2025-11-21,Friday,BREAK
2025-11-22,Saturday,BREAK
2025-11-23,Sunday,BREAK
2025-11-24,Monday,BREAK
2025-11-25,Tuesday,BREAK
2025-11-26,Wednesday,BREAK
2025-11-27,Thursday,BREAK
2025-11-28,Friday,BREAK
2025-11-29,Saturday,BREAK
2025-11-30,Sunday,BREAK
2025-12-01,Monday,BREAK
2025-12-02,Tuesday,BREAK
2025-12-03,Wednesday,BREAK
2025-12-04,Thursday,BREAK
2025-12-05,Friday,BREAK
2025-12-06,Saturday,BREAK
2025-12-07,Sunday,BREAK
2025-12-08,Monday,BREAK
2025-12-09,Tuesday,BREAK
2025-12-10,Wednesday,BREAK
2025-12-11,Thursday,BREAK
2025-12-12,Friday,BREAK
2025-12-13,Saturday,BREAK
2025-12-14,Sunday,BREAK
2025-12-15,Monday,BREAK
2025-12-16,Tuesday,BREAK
2025-12-17,Wednesday,BREAK
